Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,13.621917
1,CPU Time,153.037104
1,CPI Rate,0.593440
1,Total Thread Count,15
1,Paused Time,0.0
0,Collection and Platform Info,
1,Application Command Line,C:\Users\Franciszek\source\repos\Projekt1_OpenMP_Sito\x64\Release\K4_Sito_równoległe_funkcyjne_zapis.exe "-m" "50000000" "-n" "100000000" "-t" "1000" 
1,Operating System,Microsoft Windows 11
1,Computer Name,Laptop-Franek
1,Result Size,351331183
1,Collection start time,22:14:27 19/05/2026 UTC
1,Collection stop time,22:14:41 19/05/2026 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Tigerlake H
2,Frequency,2688001081
2,Logical CPU Count,12
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
