Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,21.994209
1,CPU Time,249.419430
1,CPI Rate,0.870812
1,Total Thread Count,15
1,Paused Time,0.0
0,Collection and Platform Info,
1,Application Command Line,C:\Users\Franciszek\source\repos\Projekt1_OpenMP_Sito\x64\Release\K4a_Sito_równoległe_funkcyjne_odczyt_zapis.exe "-m" "2" "-n" "50000000" "-t" "1000" 
1,Operating System,Microsoft Windows 11
1,Computer Name,Laptop-Franek
1,Result Size,484558062
1,Collection start time,22:17:25 19/05/2026 UTC
1,Collection stop time,22:17:47 19/05/2026 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Tigerlake H
2,Frequency,2688001094
2,Logical CPU Count,12
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
